id_profilo,id_competenza,titolo,descrizione,risultato
1022,24010102202,"Effettuare interventi di prevenzione e cura di api e apiari","Api e apiario sottoposti a misure di prevenzione e cura secondo le procedure previste. Gestire l'apiario eseguendo i trattamenti sanitari e gli interventi di bilanciamento delle famiglie, effettuando gli spostamenti degli alveari sulla base delle esigenze produttive, gestendo le famiglie produttive ed effettuando i controlli ed i trattamenti necessari al mantenimento delle adeguate condizioni igienico-sanitarie.",
1022,24010102203,"Realizzare l'estrazione e lavorazione di miele e prodotti apistici","Estrarre il miele, in base alle norme igienico-sanitarie e alle tecniche di estrazione prescelte, avendo preventivamente selezionato gli alveari e prelevato e stoccato i melari, effettuando le operazioni di disopercolatura, smielatura, filtraggio e manutenzione del miele ed effettuandone la classificazione in base alle caratteristiche fisico-chimiche ed organolettiche ed alla normativa vigente.
Produrre la pappa reale ed il polline, effettuandone la raccolta secondo le procedure e le tecniche prescelte e provvedendo alla conservazione del prodotto con metodi e condizioni previste per ciascuno",
1022,24010102204,"Realizzare il confezionamento dei prodotti apistici e la sanificazione di impianti e ambienti","Eseguire le operazioni di pulizia e di sanificazione degli ambienti e delle attrezzature utilizzate per la produzione, il confezionamento e la conservazione dei prodotti apistici. Confezionare i prodotti apistici, eseguendo le operazioni di invasettamento/imbustamento, di etichettatura per l'identificazione e la tracciabilità, ed effettuare lo stoccaggio/immagazzinamento alle condizioni ambientali previste per ciascuna tipologia di prodotto",
1222,24010122201,"Esaminare l’area boschiva da trattare ed organizzare il cantiere forestale nel rispetto delle norme di sicurezza impartite conformemente al piano di emergenza. Delimitare d’area d’intervento. Individuare e predisporre la segnaletica del cantiere boschivo/forestale","Esaminare l’area boschiva da trattare ed organizzare il cantiere forestale nel rispetto delle norme di sicurezza impartite conformemente al piano di emergenza. Delimitare d’area d’intervento. Individuare e predisporre la segnaletica del cantiere boschivo/forestale",
1222,24010122202,"Effettuare l’abbattimento e l’allestimento delle piante forestali sulla base delle verifiche preliminari all’interno di popolamenti forestali. Realizzare i tagli mediante l’utilizzo delle tecniche e delle attrezzature dedicate conformemente alle norme di sicurezza","Effettuare l’abbattimento e l’allestimento delle piante forestali sulla base delle verifiche preliminari all’interno di popolamenti forestali. Realizzare i tagli mediante l’utilizzo delle tecniche e delle attrezzature dedicate conformemente alle norme di sicurezza",
1222,24010122203,"Eseguire la movimentazione dei tronchi o delle piante intere, provvedendo al concentramento nella zona di raccolta, al trasporto fino all’imposto ed al carico sui veicoli destinati al trasporto","Eseguire la movimentazione dei tronchi o delle piante intere, provvedendo al concentramento nella zona di raccolta, al trasporto fino all’imposto ed al carico sui veicoli destinati al trasporto",
10033,24011003304,"Manutenzione impianti elettrici","Manutenere e/o ripristinare l’impianto elettrico in condizioni ottimali di efficienza e sicurezza",
1020,24010102001,"Operazioni di potatura","Eseguire le operazioni successive ai diversi interventi cesori, raccogliendo i residui vegetali, occupandosi della manutenzione ordinaria dei macchinari e delle attrezzature. - Effettuare la potatura utilizzando le tecniche più adeguate alle condizioni della pianta, ai risultati che da essa si voglionoottenere e alle condizioni fitosanitarie e ambientali. ",
1020,24010102002,"Gestione delle macchine e delle attrezzature","Eseguire la manutenzione ordinaria della motosega, realizzando il controllo, la pulizia e la verifica. ",
1020,24010102003,"Interventi di allestimento, abbattimento, sramatura e depezzatura","Eseguire le operazioni di taglio e allestimento in un cantiere forestale",
1020,24010102004,"Interventi di imboschimento e rimboschimento e di sistemazione e manutenzione idraulico-forestale e idraulico-agraria","Eseguire interventi di imboschimento e  rimboschimento e di sistemazione e manutenzione idraulico-forestale e idraulico-agraria",
1020,24010102005,"Studio preliminare del sito interessato  alla procedura di controllo e protezione","Studio preliminare del sito interessato  alla procedura di controllo e protezione",
1020,24010102006,"Manutenzione ordinaria, straordinaria e rifunzionalizzazione delle sistemazioni idraulico-forestale","Manutenzione ordinaria, straordinaria e rifunzionalizzazione delle sistemazioni idraulico-forestale",
1020,24010102007,"Monitoraggio dell’area protetta, del parco e del patrimonio forestale","Monitoraggio dell’area protetta, del parco e del patrimonio forestale",
131,876,"Potatura","Effettuare la potatura utilizzando le tecniche più adeguate alle condizioni della pianta, ai risultati che da essa si vogliono ottenere e alle condizioni fitosanitarie e ambientali",
131,877,"Controllo e gestione della sicurezza","Gestire macchine strumenti e attrezzature necessarie in condizioni di sicurezza in relazione al tipo di coltivazione, all'obiettivo produttivo scelto, al tipo di pianta, alle condizioni ambientali e del territorio",
131,1158,"Innesto","Eseguire operazioni di modifica della pianta portainnesto attraverso inserimento di una diversa pianta madre grazie alla conoscenza del tipo di coltivazione, delle scelte produttive aziendali, delle norme di sicurezza",
135,1091,"Conduzione macchine motrici","Guidare la macchina motrice per lo svolgimento delle principali operazioni colturali in calendario",
135,1092,"Impiego delle macchine operatrici","Utilizzare le macchine operatrici",
135,1093,"Verifiche di accoppiamento e controllo dell'utensile","Effettuare le verifiche di accoppiamento motrice-operatrice ed il controllo e regolazione delle operatrici allo scopo di ottenere un corretto abbinamento dei mezzi accoppiati e massimizzarne l'efficacia",
135,1094,"Efficienza e sicurezza del cantiere","Effettuare un'analisi del cantiere di lavoro per rilevare, ed eventualmente intervenire, sugli effettivi livelli di efficienza e sicurezza del cantiere stesso",
397,1776,"Preparazione del cavallo e allenamento a mano","Preparare il cavallo per i diversi tipi di esercizio e lavoro, condurlo a mano su diversi terreni e sistemarlo su veicoli da trasporto",
397,1777,"Allenamento del cavallo in sella","Condurre il cavallo in allenamento dietro indicazioni del responsabile, nel rispetto delle condizioni ambientali e climatiche ed effettuando le diverse andature richieste",
397,1775,"Accudire il cavallo","Organizzare adeguatamente gli spazi di vita dell'animale e le attrezzature necessarie, e prendersi cura del suo benessere psicofisico, mantenendo una costante attenzione al lavoro in sicurezza",
137,101,"Lavorazioni del terreno nelle aree a verde","Effettuare le lavorazioni del giardino e delle aree a verde in relazione al tipo di impiego ed alle successive operazioni pianificate (semina del prato, piantagione di arbusti e/o alberi)",
137,106,"Irrigazione delle aree a verde","Irrigare giardini, aiuole, prati, vasi su terrazzi utilizzando gli impianti disponibili, effettuando eventuali piccoli interventi di manutenzione degli stessi impianti",
137,144,"Concimazione","Effettuare la concimazione stagionale del giardino e delle essenze vegetali in esso presenti scegliendo e utilizzando l'ampia gamma di prodotti disponibili sul mercato",
137,145,"Difesa delle piante","Effettuare la difesa stagionale del giardino e delle essenze vegetali in esso presenti da attacchi parassitari di origine animale e vegetale con un monitoraggio attento dell'area verde, scegliendo e utilizzando l'ampia gamma di prodotti disponibili sul me",
137,146,"Potatura e sfalci","Effettuare le potature ordinarie delle essenze vegetali di un giardino e gli sfalci periodici di un prato utilizzando gli appositi strumenti, rispettando i paramentri di un impiego in sicurezza",
121,748,"Gestione delle risorse produttive","Gestire le risorse produttive aziendali in considerazione dei vincoli strutturali, gestionali e normativi in essere oltre che delle potenzialità offerte dalla multifunzionalità dell'agricoltura",
121,751,"Relazioni interne ed esterne","Curare le relazioni con soggetti interni ed esterni all'impresa",
121,752,"Organizzazione generale dell'impresa","Coordinare le varie funzioni ed i vari ruoli presenti nell'impresa con gli obiettivi strategici prefissati, nel rispetto delle normative vigenti, delle scelte produttive e dei metodi di produzione scelti",
121,753,"Promozione dei prodotti e dei servizi","Promuovere i prodotti e i servizi aziendali sul mercato o verso il cliente utilizzando tecniche e tecnologie appropriate ai vari tipi di azione che si intende portare avanti",
1024,24010102401,"Essere in grado di elaborare un programma di coltivazione biologica","Analizzare il terreno sotto il profilo delle possibilità di coltivazione biologica - Identificare i bisogni dell’azienda - Definire le soglie di intervento confrontando il costo economico e ambientale derivante dall’uso di certe sostanze chimiche con gli eventuali danni diretti provocati dal crittogame oppure dall’intervento dei parassiti - Consigliare sull’utilizzo di pratiche fitosanitarie basate su prodotti consentiti dai regolamenti - Individuare le tecniche biologiche adatte per la tipologia di terreno e di prodotto agricolo, - Effettuare stime costo – beneficio delle strategie proposte - Elaborare un crono programma di intervento - Preventivare i costi d’esercizio e quantificare le giornate di lavoro necessarie - Indirizzare per la scelta dell’ente certificatore - Assistere nell’espletamento delle procedure burocratiche – Assistere nell’applicazione della normativa vigente in materia di produzioni biologiche",
10032,24011003201,"Eseguire lo smontaggio dei componenti e analizzare le anomalie ","Eseguire lo smontaggio dei componenti e analizzare il malfunzionamento del bene.  Reperire le parti da sostituire in relazione alle caratteristiche materiali e funzionali dell’orologio",
10032,24011003202,"Eseguire la sostituzione/riparazione dei componenti difettosi.","Eseguire la sostituzione/riparazione dei componenti difettosi ed eseguire prove e test per la verifica del corretto funzionamento.",
1024,24010102402,"Essere in grado di controllare l'esecuzione di un programma di coltivazione biologica","Controllare le coltivazioni nelle diverse fasi secondo procedure definite - Prelevare campioni per le analisi chimico-fisiche del terreno e delle coltivazioni - Controllare la documentazione prodotta dall'azienda in  ermini di completezza, correttezza e veridicità rispetto agli standard di qualità di riferimento - Monitorare l’applicazione del programma nei diversi cicli stagionali della coltivazione - Ispezionare le modalità di produzione e le eventuali azioni correttive attuate - Verificare il livello delle sostanze tossiche ed inquinanti presenti al momento della raccolta per valutarne il grado di tossicità e la riuscita del piano - Individuare i correttivi possibili in fase di sviluppo del prodotto coltivato - Elaborare proposte migliorative per i programmi di coltivazione successivi",
1023,24010102301,"Codificare i progetti di parchi e giardini","Riadattare e realizzare i progetti del verde",
1023,24010102302,"Diagnosticare e trattare il terreno","Predisporre il terreno per ospitare le piantagioni",
1023,24010102303,"Gestire la piantagione, curare e prevenire le malattie delle piante","Piante a dimora e in salute.",
1023,24010102304,"Edificare i componenti d'arredo dei parchi e dei giardini","Allestire parchi e giardini",
1023,24010102305,"Irrigazione delle aree a verde","Irrigare giardini, aiuole, prati, vasi, utilizzando gli impianti disponibili ed eventualmente perfezionandoli ed effettuando piccoli interventi di manutenzione degli stessi impianti",
1023,24010102306,"Operazioni di concimazione di zone verdi e giardini","Effettuare la concimazione stagionale del giardino e delle essenze vegetali in esso presenti scegliendo e utilizzando fra i prodotti disponibili sul mercato quelli più confacenti allo sviluppo delle essenze nella salvaguardia delle condizioni ambientali",
1023,24010102307,"Potatura, sfalcio ed innesto","Operazioni di potatura, sfalcio ed innesto",
125,1014,"Gestione delle macchine","Impiegare i principali tipi di macchine ed attrezzature per i lavori agricoli riconoscendone le singole caratteristiche, il loro corretto utilizzo e le condizioni di impiego migliori",
125,1016,"Gestione del magazzino e dell'officina","Attuare la corretta gestione delle attrezzature di officina e dei prodotti in magazzino secondo procedure prestabilite, garantendo il costante livello dei servizi erogati",
125,1017,"Gestione interventi","Attuare gli interventi di manutenzione programmando nel tempo le singole azioni sulla base anche di priorità predefinite",
124,1047,"Controllo dei cicli produttivi e processi di lavorazione","Controllare i cicli di produzione ed i processi produttivi nel rispetto delle specifiche di prodotto definite e delle carateristiche delle macchine e delle attrezzature a disposizione",
124,1048,"Gestione delle macchine e delle tecnologie produttive","Gestire le macchine e le tecnologie produttive conoscendo le condizioni di esercizio, le caratteristiche delle stesse e gli obiettivi produttivi dell'azienda",
124,1049,"Gestione dei rapporti interni ed esterni","Gestire i rapporti con il personale interno dell'impianto e con i fornitori esterni curando la condivisione degli obiettivi, la chiarezza dei ruoli, il rispetto dei protocolli, delle procedure e degli impegni assunti",
49,799,"Vigilanza e controllo di flora, fauna e patrimonio ambientale","Vigilare e controllare la flora, la fauna e il patrimonio forestale ed ambientale nei territori assegnati, prevenendo situazioni di criticità o inquinamento ambientale e permettendo interventi di ripristino delle aree compromesse",
49,800,"Sviluppo dell'educazione ambientale","Promuovere e sostenere l'educazione ambientale attraverso azioni di divulgazione e informazione nelle scuole e in altri luoghi pubblici, contribuendo ad accrescere il senso di responsabilità ambientale nell'intera collettività e favorendo la conoscenza de",
49,801,"Presidio delle funzioni di protezione civile","Collaborare con le autorità preposte alla protezione civile, al ripristino ambientale di aree colpite da calamità naturali o da disastri ambientali",
134,1088,"Campionamenti ed attività di analisi","Effettuare i campionamenti e le analisi di materie prime, semilavorati o prodotti agricoli finiti nel rispetto dei protocolli analitici vigenti, delle disposizioni di legge e delle norme di sicurezza",
134,1089,"Verifica degli strumenti e dei metodi utilizzati","Effettuare le verifiche degli strumenti e delle procedure impiegate per le analisi per mantenere l'attività del laboratorio di analisi ad elevati livelli qualitativi",
134,1090,"Validazione e gestione della documentazione analitica","Validare e gestire i risultati analitici collaborando alla elaborazione dei dati e alla stesura dei report richiesti",
10030,24011003001,"Costruzione/riparazione di strumenti musicali","Essere in grado di riparare strumenti musicali ad arco ed a pizzico.- Essere in grado di costruire strumenti musicali ad arco ed a pizzico.- Conoscere e comprendere le caratteristiche dell’attività professionale del liutaio.- Saper adottare comportamenti per la salvaguardia della propria salute e sicurezza sui posti di lavoro.- Progettare uno strumento musicale ad arco ed a pizzico.- Gestire le risorse strumentali e materiali del laboratorio di liuteria",
10033,24011003301,"Installazione impianti elettrici e fotovoltaici","Installare un impianto elettrico e/o fotovoltaico nel rispetto della normativa specifica di settore e sulla base del progetto esecutivo",
10033,24011003302,"Installazione impianti di sicurezza e cablaggio strutturato","Installare impianto di sicurezza e cablaggio, strutturato installato e testato nel rispetto della normativa specifica di settore e sulla base del progetto esecutivo",
10033,24011003303,"Controllo conformità impianti elettrici","Controllare l’impianto elettrico collaudato nel rispetto degli standard di sicurezza ed efficienza",
351,1519,"Operazioni di saldatura e riparazione di parte meccanica","Effettuare operazioni di saldatura e ripristinare un pezzo meccanico che ha subito un danneggiamento funzionale o costruttivo per usura o per guasto accidentale",
351,1449,"Controllo della rispondenza del pezzo prodotto con le specifiche richieste","Controllare il pezzo meccanico verificando che esso sia rispondente alle specifiche previste",
351,1447,"Attrezzaggio della macchina utensile","Preparare le attrezzature idonee sulla macchina utensile in funzione del pezzo da realizzare",
351,1448,"Esecuzione del pezzo meccanico alle macchine utensili","Realizzare partendo da un grezzo di materiale previsto il pezzo meccanico sulla base del disegno, o del campione (modello) di un componente analogo",
351,1446,"Compilazione della documentazione richiesta","Registrare l'intervento eseguito nell'apposito sistema informativo all'uopo predisposto archiviando i dati riguardanti la durata delle varie fasi previste e le difficoltà riscontrate",
348,1480,"Registrazione degli interventi eseguiti","Registrare l'intervento eseguito nell'apposito sistema informativo all'uopo predisposto, costituito da semplici schede cartacee - in realtà più complesse - e da un sistema informatizzato di gestione della manutenzione",
348,1478,"Esecuzione interventi a guasto","Effettuare il cosiddetto ",
348,1479,"Esecuzione interventi di manutenzione programmata","Eseguire scollegamenti elettrici per interventi meccanici, revisioni complete, o interventi complessi, su macchine ferme, in seguito al degradarsi",
348,1444,"Esecuzione attività di diagnostica","Effettuare con l'ausilio di idonea strumentazione test diagnostici che permettono di valutare lo stato operativo della macchina o dell'impianto",
348,1477,"Assistenza all'avviamento della macchina","Effettuare assistenza al personale di produzione per l'avviamento del nuovo ciclo produttivo e collaborare all'effettuazione di operazioni di taratura e piccoli aggiustamenti dell'assetto delle macchine",
349,1443,"Registrazione degli interventi eseguiti","Registrare al termine di ciascun intervento quanto eseguito mediante semplici schede cartacee o in un sistema informatizzato di gestione della manutenzione",
349,1442,"Esecuzione di interventi di manutenzione preventiva","Eseguire piccoli interventi di assistenza operativa (lubrificazione, controllo allineamenti, controllo bulloneria e simili) al fine di mantenere la macchina in perfetto esercizio e prevenirne il degrado",
349,1441,"Assistenza all'avviamento della macchina","Effettuare assistenza al personale di produzione per l'avviamento del nuovo ciclo produttivo, realizzando prevalentemente operazioni di taratura e piccoli aggiustamenti dell'assetto delle macchine",
349,1440,"Esecuzione interventi di manutenzione programmata","Effettuare revisioni complete, o interventi complessi, su macchine ferme o a scadenza periodica o tramite la rilevazione del degrado con tecniche predittive, oppure successivamente all'effettuazione di un intervento tampone",
349,1438,"Esecuzione interventi a guasto","Effettuare il cosiddetto ",
388,1700,"Manutenzione dell'autoveicolo o dell'autoarticolato","Effettuare le operazioni di manutenzione dell'autoveicolo o dell'autoarticolato assicurando le condizioni ottimali di efficienza e di sicurezza dell'autoveicolo o dell'autoarticolato",
388,1699,"Realizzazione della riparazione e collaudo dell'autoveicolo o dell'autoarticolato","Realizzare l'intervento di riparazione e di collaudo dell'autoveicolo o dell'autoarticolato assicurando una corretta realizzazione e riparazione del guasto secondo gli standard di sicurezza ed efficienza",
388,1698,"Diagnosi tecnica e strumentale del guasto dell'autoveicolo o dell'autoarticolato","Svolgere una corretta diagnosi tecnica e strumentale dell'autoveicolo o dell'autoarticolato al fine di individuare il guasto e programmare un piano di riparazione adeguato",
388,1697,"Assistenza alla clientela","Fornire assistenza alla clientela al fine di soddisfare le richieste del cliente nella logica di qualità del servizio",
340,1800,"Pianificazione e organizzazione delle fasi del processo delle lavorazioni artistiche","Pianificare le fasi del lavoro assegnato, predisponendo gli spazi di lavoro, preparando gli strumenti e verificando i macchinari al fine di realizzare un manufatto/bene artistico",
340,1759,"Progettazione e realizzazione degli elementi di base del gioiello (semiprodotti)","Elaborare i bozzetti e i disegni e realizzare gli elementi fondamentali del manufatto, saldandoli ed eseguendo le lavorazioni manuali previste in fase di progettazione",
340,1758,"Preparazione del materiale grezzo attraverso la fusione del metallo","Selezionare la lega tra quelle già pronte in commercio o prepararla, miscelando il materiale prezioso con metalli nobili e non, in funzione del titolo che si vuole ottenere ed eventualmente delle caratteristiche estetiche e/o di lavorabilità e di resisten",
340,1760,"Rifinitura, lucidatura e smaltatura del prodotto","Rifinire il pezzo lucidandolo oppure smaltandolo al fine di conferirgli brillantezza e luminosità",
340,1460,"Produzione di semilavorati in metalli preziosi","Produrre i semilavorati in metalli preziosi nei tempi e nella quantità necessaria alla fabbricazione dei prodotti e dei componenti previsti, in coerenza con i fabbisogni dei reparti a valle, ottimizzando la produzione degli impianti sotto il suo controllo",
340,1421,"Attrezzaggio e conduzione del parco macchine ad alta automazione per la produzione di serie di componenti in metalli preziosi","Programmare le attività del parco macchine in funzione delle richieste e delle priorità commerciali assicurando l'ottimizzazione quantitativa e qualitativa della produzione dei componenti attraverso una efficace messa a punto delle macchine e delle sue at",
10028,24011002801,"Conformazione scenario domotico","Comprendere ed analizzare le richieste del cliente interno o esterno proponendo soluzioni rispondenti alle sue esigenze. Elaborare scenari domotici personalizzati",
10028,24011002802,"Configurazione sistema domotico","Effettuare le operazioni di configurazione dei requisiti tecnici degli apparati domotici assicurando l'operazione di collaudo finale secondo gli standard di sicurezza ed efficienza",
10028,24011002803,"Installazione sistema domotico","Installare i dispositivi domotici dei sistemi di programmazione e controllo degli impianti, curandone l'adattamento e l'interfacciamento con gli altri sistemi e riducendo al minimo i tempi di  interruzione e riavvio degli impianti",
10028,24011002804,"Gestione sistema domotico","Assicurare una corretta gestione ed una continua manutenzione dell’impianto tanto dal punto di vista dei sistemi che delle procedure, eliminando gli errori ed i malfunzionamenti che si dovessero manifestare, mantenendo un adeguato livello di sicurezza e fornendo la necessaria assistenza agli utenti",
140,531,"Gestione del processo contabile","Gestire le attività contabili di magazzino con correttezza e rispondenza alle norme",
341,1485,"Smaltimento dei rifiuti di lavorazione","Verificare con regolare frequenza le caratteristiche degli scarti e dei reflui di lavorazione prima della loro immissione in discarica, assicurando il rispetto delle norme aziendali ed ambientali e, in funzione dei risultati, prefigurando interventi di sm",
341,1765,"Monitoraggio del processo di elettrodeposizione galvanica per il trattamento superficiale dei metalli preziosi","Controllare il buon funzionamento del trattamento galvanico, monitorando costantemente i valori dei parametri relativi alla temperatura di esercizio, alla conduzione elettrica di deposito, i valori degli agenti chimici, attuando eventuali azioni correttiv",
341,1482,"Controllo del titolo dei metalli preziosi puri e delle leghe","Effettuare i controlli necessari nelle varie fasi di lavorazione per assicurare la conformità del titolo del prodotto alle specifiche tecniche previste e alle norme legali vigenti",
341,1484,"Messa a punto e composizione dei bagni galvanici per il trattamento superficiale dei metalli preziosi","Approntare il bagno galvanico, partendo dai suoi costituenti chimici, controllandone il buon funzionamento e la costanza delle caratteristiche del deposito nel tempo",
350,1573,"Riparazione o manutenzione dei componenti automatici","Gestire la manutenzione o la riparazione, anche indirettamente, dei componenti automatici di un impianto effettuando anche l'attività di diagnostica",
350,1574,"Studio di miglioramenti produttivi","Realizzare studi di impiantistica automatica a partire dalla difettologia del prodotto o del processo che apportino miglioramenti al processo di produzione",
350,1571,"Documentazione degli interventi eseguiti","Registrare con l'ausilio dell'apposito software, o con schede cartacee, le modifiche degli interventi eseguiti al fine di realizzare la scheda storica della macchina o dell'impianto",
350,1572,"Automazione del processo produttivo","Automatizzare il processo produttivo o sue parti apportando miglioramenti in termini di produttività o di qualità",
395,1897,"Rappresentazione grafica e design del gioiello","Elaborare graficamente il modello di gioiello individuando le caratteristiche tecniche e i materiali che verranno utilizzati nella fase di realizzazione del prodotto",
395,1766,"Disegno tecnico e progettazione del gioiello attraverso il CAD","Elaborare graficamente, a partire dal bozzetto dell'idea dell'oggetto da realizzare, il modello orafo che si intende sviluppare, utilizzando i programmi informatici di CAD al fine di definirne le specifiche tecniche ed estetiche del gioiello e della colle",
395,1756,"Studio progettuale del prezioso da realizzare","Sviluppare l'idea di progetto a partire dalla conoscenza dei vari stili ed elementi distintivi delle varie lavorazioni orafe, nonché dell'analisi del mercato, della gamma di prodotti aziendali e dei vincoli produttivi aziendali",
394,1754,"Smerigliatura","Applicare le tecniche di finitura per asportare il materiale in eccesso e le imperfezioni emerse durante la forgiatura del metallo al fine di realizzare un manufatto con le caratteristiche tattiche e visive prescelte",
394,1755,"Verniciatura o ceratura","Applicare sostanze e prodotti sul metallo per favorire la protezione e la conservazione del metallo oppure per migliorarne le caratteristiche estetiche",
394,1752,"Forgiatura a caldo del pezzo in metallo","Lavorare a caldo il pezzo in metallo utilizzando la forgia, il martello e l'incudine, ottenendo elementi in metallo che saranno lavorati durante il ciclo di lavorazione",
394,1753,"Assemblaggio dei pezzi in metallo","Assemblare i pezzi in metallo forgiati attraverso la saldatura o la tecnica della chiodatura per realizzare un manufatto coerente con le indicazioni progettuali",
394,1751,"Disegno e progettazione di manufatti in ferro","Progettare e disegnare manufatti in ferro predisponendo specifici modelli in gesso, in cartone, in lamiera oppure prototipi in scala",
344,1559,"Relazione con le unità commerciali e di assistenza tecnica","Collaborare con le unità commerciali e di assistenza tecnica per le analisi di mercato finalizzate all'ideazione di nuovi prodotti che siano poi realmente industrializzabili",
344,1560,"Industrializzazione del prodotto","Realizzare un prototipo industriale di un nuovo articolo dopo averne verificato la fattibilità e la compatibilità col normale ciclo produttivo",
344,1557,"Modifica dei prodotti esistenti","Modificare i prodotti esistenti sia in termini funzionali sia in termini produttivi in maniera che possano incontrare maggiore soddisfazione sul mercato",
344,1556,"Progettazione di un nuovo prodotto","Eseguire i disegni costruttivi di nuovi prodotti in maniera da poterne realizzare la prototipazione",
343,1568,"Gestione di commesse di produzione serie di stampi","Organizzare le fasi di produzione degli stampi su grande serie dopo aver effettuato la campionatura di nuovi prodotti in maniera compatibile con i tempi di uscita sul mercato dei nuovi prodotti",
343,1569,"Studio di differenti materiali per stampi e particolari","Effettuare prove o studi con materiali alternativi per stampi o riporti onde migliorare la qualità del prodotto o semplificarne la fabbricazione",
343,1567,"Effettuazione di test o di campionature","Collaborare con il progettista di prodotto e con i tecnologi di produzione alla realizzazione di test e campionature di nuovi articoli o di articoli modificati",
343,1566,"Disegno dello stampo e dei particolari","Eseguire il disegno dello stampo - sia abbozzatore sia finitore - e dei particolari meccanici necessari alla produzione di un articolo per stampaggio in base al progetto realizzato dal progettista del prodotto",
391,1740,"Preparazione dei componenti da installare","Preparare il materiale necessario per l'esecuzione dell'impianto in conformità al progetto di esecuzione e/o dei disegni tecnici",
391,1741,"Installazione dell'impianto elettrico e/o di trasmissione e ricezione dati","Installare l'impianto elettrico e/o di trasmissione e ricezione dati come definito da progetto e secondo le istruzioni tecniche dei costruttori nel rispetto delle norme di sicurezza del settore",
391,1742,"Controllo dell'impianto","Effettuare la verifica dell'impianto finalizzata al collaudo positivo dello stesso",
338,1508,"Stesura del programma a breve termine","Realizzare il programma di produzione di dettaglio a breve termine (settimanale o mensile) apportando, anche in corso d'opera, tutte le variazioni ritenute necessarie per un ottimale soddisfacimento delle esigenze del cliente",
338,1509,"Stesura del programma annuale di produzione","Realizzare il programma di produzione, a lungo termine, onde verificare la saturazione delle linee di produzione ed eventuali modifiche degli assetti produttivi",
338,1506,"Elaborazione della reportistica necessaria alla diffusione del programma di produzione","Elaborare la reportistica di breve periodo e quella previsionale dei programmi di produzione sia per i reparti produttivi sia per la Direzione Aziendale",
