id_profilo,titolo,descrizione,liv_eqf,settore,ada_1,ada_2,ada_3,ada_4,ada_5,ada_6,ada_7,ada_8,ada_9,ada_10,ada_11,ada_12,ada_13,ada_14,ada_15,ada_16,ada_17,ada_18,ada_19,ada_20,ada_21,ada_22,ada_23,ada_24,ada_25,ada_26,ada_27,ada_28,ada_29,ada_30,ada_31,ada_32,ada_33,ada_34,ada_35,ada_36,ada_37,ada_38,ada_39,ada_40,ada_41,ada_42,ada_43,ada_44,ada_45,ada_46,ada_47
1023,"Tecnico per la realizzazione di parchi e giardini",,4,1,"ADA.01.01.05","ADA.01.01.12","ADA.01.01.27","ADA.01.01.28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,"Tecnico della gestione delle macchine agricole, del magazzino e dell'officina",,4,1,"ADA.01.01.02","ADA.01.01.05","ADA.01.01.06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,"Tecnico della pianificazione e manutenzione degli impianti agroindustriali",,0,1,"ADA.01.01.02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,"Tecnico della supervisione, prevenzione e sorveglianza del patrimonio forestale e faunistico",,4,1,"ADA.01.01.16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,"Tecnico delle analisi di laboratorio di prodotti agricoli",,4,1,"ADA.01.01.09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10030,"LIUTAIO",,3,10,"ADA.10.12.01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10033,"OPERATORE DI IMPIANTI ELETTRICI E FOTOVOLTAICI",,3,10,"ADA.10.04.05 ","ADA.10.04.06","ADA.10.04.07","ADA.10.04.08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10032,"Operatore per la riparazione di orologi",,3,10,"ADA.10.10.06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,"Operatore per la lavorazione, costruzione e riparazione di parti meccaniche",,3,10,"ADA.10.02.05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,"Operatore per la manutenzione di impianti elettrici",,3,10,"ADA.10.04.05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,"Operatore per la manutenzione di macchinari destinati alla produzione",,3,10,"ADA.10.02.13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,"Operatore per la riparazione di autoveicoli e autoarticolati",,3,10,"ADA.10.03.01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,"Operatore per le lavorazioni orafe",,3,10,"ADA.10.10.03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10028,"Tecnico installatore impianti domotici ",,4,10,"ADA.10.04.01","ADA.10.04.05 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,"Tecnico dei processi chimici in oreficeria",,4,10,"ADA.10.10.03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,"Tecnico dell'automazione dei processi produttivi",,4,10,"ADA.10.02.03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,"Tecnico dell'ideazione, disegno e progettazione di manufatti orafi",,4,10,"ADA.10.10.04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,"Tecnico della progettazione, creazione e realizzazione di oggetti in metallo",,4,10,"ADA.10.09.04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,"Tecnico della progettazione di prodotti industriali",,4,10,"ADA.10.02.02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,"Tecnico della progettazione di stampi per la produzione del prodotto",,4,10,"ADA.10.02.02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,"Tecnico della realizzazione di impianti elettrici",,4,10,"ADA.10.04.05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,"Tecnico di programmazione delle produzioni orafe",,4,10,"ADA.10.10.01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11015,"Operatore aeroportuale ",,3,11,"ADA.11.04.04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11016,"Operatore delle attività subacquee in acquacoltura","È un sommozzatore in grado di effettuare interventi in immersione con la tecnica in SCUBA (Self Contained Breathing Apparatus - Apparato di Respirazione Autonomo) in ambiente marino fino ad una profondità non superiore a - 30 metri respirando aria. La figura può operare nelle acque costiere (In-Shore)",3,11,"ADA.11.02.21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,"Operatore per la conduzione di veicoli destinati al trasporto di persone",,3,11,"ADA.11.05.07","ADA.11.05.08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,"Operatore per la conduzione e le operazioni di manovra di mezzi di sollevamento e/o traino (carrelli, ralle, reach stacker)",,3,11,"ADA.11.01.13","ADA.11.01.16","ADA.11.01.20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,"Operatore per la conduzione e manovra di gru portuali (Gru transtainer, portainer, MHC-RTG)",,3,11,"ADA.11.01.13","ADA.11.01.16","ADA.11.01.20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,"Operatore per le attività di consegna e conduzione di veicoli destinati al trasporto di merci",,3,11,"ADA.11.01.07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,"Operatore per le attività di gestione e controllo della contabilità del magazzino",,3,11,"ADA.11.01.19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,"Operatore per le attività di imbarco/sbarco e rizzaggio e derizzaggio",,3,11,"ADA.11.01.13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,"Operatore per le attività di spedizione",,3,11,"ADA.11.01.07","ADA.11.01.18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,"Responsabile della gestione dell'impresa e dell'organizzazione delle attività di magazzinaggio e/o trasporto",,5,11,"ADA.11.01.03","ADA.11.01.06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,"Responsabile delle attività di programmazione, implementazione e monitoraggio dell'immagazzinamento e di trasporto e spedizione della merce",,5,11,"ADA.11.01.01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11017,"Tecnico subacqueo IN-SHORE","Il tecnico Subacqueo In-Shore è in grado di effettuare interventi in immersione con la tecnica in SCUBA (Self Contained Breathing Apparatus - Apparato di Respirazione Auto Contenuto) fino ad una profondità di 30 metri respirando aria o miscele iperossiche (Nitrox) ed è in grado di effettuare interventi in immersione con la tecnica SURFACE SUPPLIED (rifornimento dalla superficie) fino ad una profondità di 50 metri respirando aria o miscele iperossiche (Nitrox). La figura può operare nelle acque interne (In-Land) ed in acque costiere (In-Shore). Sulla base della normativa internazionale, per In-Shore si intende il tratto di mare entro le 12 miglia dalla costa ed una profondità non superiore ai 50 metri.",4,11,"ADA.11.02.21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11018,"Tecnico subacqueo OFF-SHORE","Il Tecnico Subacqueo Off-Shore, in aggiunta alle competenze dell'Operatore Tecnico Subacqueo In-Shore, è in grado di effettuare interventi in immersione con la tecnica SURFACE SUPPLIED (Rifornimento dalla Superficie) fino ad una profondità di 50m respirando aria o miscele iperossiche (Nitrox), e con l'ausilio di ""Stage"", ovvero ausili all'ingresso ed all'uscita dall'acqua quali ""Basket"" o ""Wet-bell"" (Campane Aperte). Può operare nelle acque interne (In-Land), nelle acque costiere (In-Shore), e fuori dalle acque costiere (Off-Shore).",4,11,"ADA.11.02.22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,"Tecnico dell'organizzazione dei processi di spedizione della merce",,4,11,"ADA.11.01.03","ADA.11.01.04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,"Tecnico della pianificazione, implementazione e controllo di movimentazione, stoccaggio e lavorazioni di magazzino",,4,11,"ADA.11.01.02","ADA.11.01.18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,"Operatore per la produzione dell'olio di oliva",,3,2,"ADA.02.04.06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,"Tecnico della programmazione del piano di arrivo/partenza della nave e delle attività di imbarco, sbarco e verifica della merce",,4,11,"ADA.11.01.10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,"Tecnico della programmazione, pianificazione, esecuzione, verifica e controllo delle attività di movimentazione di beni e persone",,4,11,"ADA.11.05.01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"Operatore per le attività di apertura/chiusura della cassa e di assistenza di base alla clientela",,3,12,"ADA.12.01.07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"Operatore per le attività di assistenza, orientamento, informazione del cliente e l'allestimento e rifornimento degli scaffali",,3,12,"ADA.12.01.03","ADA.12.01.06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"Responsabile della direzione, organizzazione e gestione del punto vendita",,5,12,"ADA.12.01.05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"Responsabile della progettazione, gestione, organizzazione e promozione di centro commerciale",,5,12,"ADA.12.01.04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"Responsabile delle attività commerciali di un reparto/settore merceologico all'interno di strutture di grandi dimensioni",,5,12,"ADA.12.01.05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12013,"Tecnico delle attività di vendita di prodotti e soluzioni IT",,4,12,"ADA.12.02.01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,"Tecnico della gestione di rapporti commerciali con i clienti per la vendita di prodotti e/o servizi",,4,12,"ADA.12.02.01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,"Tecnico della programmazione, organizzazione e conduzione di trattative di vendita di auto e/o motocicli",,4,12,"ADA.12.02.01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"Tecnico delle attività di allestimento di vetrine e display",,4,12,"ADA.12.01.09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,"Tecnico delle attività di vendita",,4,12,"ADA.12.02.01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Operatore per l'accoglienza, lo sviluppo e la fidelizzazione della clientela",,3,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"Operatore per la gestione e il controllo delle operazioni di incasso e pagamento",,3,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,"Operatore per le attività di prima accoglienza, informazione e assistenza ai clienti di agenzia assicurativa",,3,13,"ADA.13.02.23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,"Responsabile del coordinamento di attività di accertamento, valutazione e liquidazione dei danni a cose e/o a persone",,5,13,"ADA.13.02.20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Responsabile della gestione e del controllo di agenzia di credito",,5,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"Tecnico dell'intermediazione assicurativa",,4,13,"ADA.13.02.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"Tecnico della consulenza e vendita dei prodotti/servizi bancari",,4,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,"Tecnico della gestione della rete di vendita",,4,13,"ADA.13.02.24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"Tecnico della gestione e dello sviluppo degli affari di agenzia assicurativa",,4,13,"ADA.13.02.24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,"Tecnico della promozione di strumenti finanziari e di servizi di investimento",,4,13,"ADA.13.01.24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,"Tecnico della rilevazione, analisi e tariffazione dei rischi per la determinazione del premio di polizza",,4,13,"ADA.13.02.12","ADA.13.02.13","ADA.13.02.14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,"Tecnico della valutazione di rischi finanziari, assicurativi e previdenziali di un'impresa di assicurazioni",,4,13,"ADA.13.02.03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,"Tecnico della vendita di servizi assicurativi (area retail, subagente o produttore)",,4,13,"ADA.13.02.26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,"Tecnico della vendita di servizi assicurativi (area specializzazione aziende, account)",,4,13,"ADA.13.02.26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,"Tecnico della vendita di servizi assicurativi (area specializzazione previdenziale)",,4,13,"ADA.13.02.26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,"Tecnico delle attività di accertamento, valutazione e liquidazione di danni a cose e/o a persone di grave entità",,4,13,"ADA.13.02.20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"Tecnico delle operazioni bancarie da e per l'estero a supporto di esportazioni di beni e servizi e investimenti finanziari",,4,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,"Tecnico per il supporto e la verifica dell'attività assuntiva della rete distributiva",,4,13,"ADA.13.02.12","ADA.13.02.13","ADA.13.02.14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14022,"OPERATORE INFORMATICO","L’Operatore informatico è in grado di eseguire il supporto operativo alle attività di installazione, configurazione e manutenzione di sistemi informatici, reti, dispositivi hardware e software e archivi digitali, nel rispetto delle procedure tecniche e organizzative previste e  enendo conto delle evoluzioni tecnologiche di riferimento.",3,14,"ADA.14.01.10","ADA.14.01.11","ADA.14.01.12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14024,"Responsabile  Digital officer",,5,14,"ADA.14.01.01","ADA.14.01.02","ADA.14.01.03","ADA.14.01.04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015,"Responsabile analista dati ",,5,14,"ADA.14.01.20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14026,"RESPONSABILE ANALISTA E PROGETTISTA DI SOFTWARE",,5,14,"ADA.14.01.02","ADA.14.01.03","ADA.14.01.05","ADA.14.01.06","ADA.14.01.09","ADA.14.01.10","ADA.14.01.11 ","ADA.14.01.13","ADA.14.01.14","ADA.14.01.15 ","ADA.14.01.21 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14023,"Responsabile Data scientist",,5,14,"ADA.14.01.20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14017,"Responsabile del design visuale","Lo user experience designer ha il compito di integrare i requisiti dell’utente, i requisiti dell’applicazione , i vincoli di accessibilità e di usabilità in una interfaccia visuale e in un modello di  interazione (altrimenti detto “esperienza dell’utente”) il più possibile uniforme e integrato. Allo user experience designer compete lo sviluppo di uno “stile” visuale e interattivo che possa allo stesso tempo caratterizzare l’applicazione Web (dotandola di caratteri distintivi) e garantire il raggiungimento efficace (portarlo nel punto giusto) ed efficiente (fargli fare il giusto numero di click) degli obiettivi dell’utente",5,14,"ADA.14.01.07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14025,"Responsabile Digital product developer",,5,14,"ADA.14.01.07","ADA.14.01.12","ADA.14.01.13","ADA.14.01.14","ADA.14.01.15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,"Responsabile della gestione di call center",,5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,"Responsabile della gestione di reti informatiche locali (Lan) o geografiche (Wan)",,5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,"Responsabile della progettazione di procedure software e applicazioni informatiche",,5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,"Responsabile della progettazione e dello sviluppo di programmi informatici",,5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,"Responsabile della sicurezza di reti informatiche e della protezione di dati",,5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,"Responsabile delle attività di analisi, progettazione e aggiornamento di sistemi informativi",,5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,"Responsabile delle attività di implementazione, installazione, personalizzazione e manutenzione di sistemi integrati per la gestione aziendale",,5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,"Operatore per la conduzione di impianti di lavorazione e confezionamento di prodotti agroalimentari",,3,2,"ADA.02.01.08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,"Operatore per la lavorazione e la commercializzazione dei prodotti della panificazione/pasticceria",,3,2,"ADA.02.02.02","ADA.02.02.06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22021,"Tecnico delle attività di supporto alla regia",,4,22,"ADA.22.02.02 ","ADA.22.02.05","ADA.22.02.06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14033,"Tecnico della progettazione, manutenzione, aggiornamento, sviluppo e testing di siti web (Digital Media Specialist)","Si occupa della creazione di siti web ed applicazioni multimediali combinando grafici, audio, immagini fotografiche e video. Disegna, imposta e codifica siti e applicazioni multimediali per ottimizzare la presentazione delle informazioni, inclusi i messaggi di marketing. Svolge consulenze sulle interfacce utente ed assicura la sostenibilità attraverso l'applicazione di sistemi di gestione dei contenuti appropriati. Assicura che la progettazione dell'interfaccia e i suoi contenuti siano conformi ai requisiti tecnici in riferimento agli obblighi normativi in ambito di accessibilità.",4,14,"ADA.14.01.06 ","ADA.14.01.07","ADA.14.01.09","ADA.14.01.11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14032,"Tecnico della progettazione, sviluppo, testing e manutenzione del software (Sviluppatore software-Developer)",,4,14,"ADA.14.01.06 ","ADA.14.01.09","ADA.14.01.11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14027,"TECNICO DELLA SICUREZZA INFORMATICA",,4,14,"ADA.14.01.18","ADA.14.01.22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14028,"Tecnico informatico",,4,14,"ADA.14.01.12","ADA.14.01.14","ADA.14.01.17","ADA.14.01.22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14029,"TECNICO SISTEMISTA INFORMATICO",,5,14,"ADA.14.01.10","ADA.14.01.14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14030,"TECNICO SVILUPPATORE DI APPLICAZIONI SOFTWARE PER DISPOSITIVI MOBILI",,4,14,"ADA.14.01.06","ADA.14.01.07","ADA.14.01.09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,"Tecnico della progettazione, implementazione e manutenzione di sistemi di gestione di database",,4,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,"Tecnico della programmazione e dello sviluppo di programmi informatici",,4,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,"Tecnico delle attività di installazione, configurazione, collaudo, manutenzione e riparazione di sistemi di comunicazioni multimediali",,4,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,"Tecnico delle attività di installazione, configurazione, manutenzione e riparazione di reti informatiche",,4,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"Operatore per la gestione, conduzione e manutenzione di impianti di depurazione delle acque",,4,16,"ADA.16.03.07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"Operatore per la gestione, conduzione e manutenzione di impianti di trattamento e smaltimento dei rifiuti",,3,16,"ADA.16.02.02","ADA.16.02.06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"Operatore per le attività di protezione ambientale, raccolta e spazzamento dei rifiuti",,3,16,"ADA.16.02.02","ADA.16.02.07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
